fo;iso_code ;region ;Y;X1;X2;X3;X4
ЦФО;RU-BEL;Белгородская область;84223;120,7;99,8;103;2188
ЦФО;RU-BRY;Брянская область;433;103,3;97,5;101;1635
ЦФО;RU-VLA;Владимирская область;4648;111,7;99,7;101,4;6526
ЦФО;RU-VOR;Воронежская область;5246;113,1;99,8;102,2;4724
ЦФО;RU-IVA;Ивановская область;747;105,7;99,6;105,1;1127
ЦФО;RU-KLU;Калужская область;3823;109,5;100,1;97,2;7475
ЦФО;RU-KOS;Костромская область;287;101,8;98,1;102,3;704
ЦФО;RU-KRS;Курская область;43030;110,7;99,4;104,2;1643
ЦФО;RU-LIP;Липецкая область;5434;116,6;99,8;103,4;13491
ЦФО;RU-MOS;Московская область;10078;109,5;101,9;102,2;31942
ЦФО;RU-ORL;Орловская область;125;111,4;98,6;101,8;1365
ЦФО;RU-RYA;Рязанская область;2033;107,1;98,7;102,5;3795
ЦФО;RU-SMO;Смоленская область;1398;108,4;98,7;104,5;1633
ЦФО;RU-TAM;Тамбовская область;158;116,3;99,6;109,2;944
ЦФО;RU-TVE;Тверская область;968;108,8;99,5;101;11562
ЦФО;RU-TUL;Тульская область;5146;108,8;98,6;104,4;4168
ЦФО;RU-YAR;Ярославская область;1176;104,6;98,9;102,6;9743
ЦФО;RU-MOW;г. Москва;1328944;107,8;101,9;101;75591
СЗФО;RU-KR;Республика Карелия;49048;107;98,7;100,7;2666
СЗФО;RU-KO;Республика Коми;249068;101,4;97,5;96,7;1006
СЗФО;RU-ARK;Архангельская область;194882;107,2;99,2;101,1;8943
СЗФО;RU-NEN;Ненецкий автономный округ;187517;96,8;99,8;99,4;34
СЗФО;RU-ARK_woao;Архангельская область без автономного округа;7365;107,2;99,1;102;8909
СЗФО;RU-VLG;Вологодская область;396;110,8;99,2;95,7;4571
СЗФО;RU-KGD;Калининградская область;13084;131,4;100,3;101;9243
СЗФО;RU-LEN;Ленинградская область;14401;109,4;99,5;98,6;19754
СЗФО;RU-MUR;Мурманская область;82163;124,1;97,6;100,8;474
СЗФО;RU-NGR;Новгородская область;1638;113,6;98,9;101,9;6535
СЗФО;RU-PSK;Псковская область;983;117,9;98,5;100,5;1121
СЗФО;RU-SPE;г. Санкт-Петербург;14726;110,6;101,1;101,8;31415
ЮФО;RU-AD;Республика Адыгея;1964;110,7;99,8;102,7;401
ЮФО;RU-KL;Республика Калмыкия;1898;108,6;99,6;102,6;5
ЮФО;RU-CR;Республика Крым;2949;NA;NA;NA;NA
ЮФО;RU-KDA;Краснодарский край;22116;108,8;99,6;103,9;8056
ЮФО;RU-AST;Астраханская область;100786;135;99,9;116,2;652
ЮФО;RU-VGG;Волгоградская область;45725;103;98,2;101,4;7384
ЮФО;RU-ROS;Ростовская область;20700;107,2;99,8;102,9;7005
ЮФО;RU-SEV;г. Севастополь;16;NA;NA;NA;NA
СКФО;RU-DA;Республика Дагестан;3170;102,1;101,7;106,3;629
СКФО;RU-IN;Республика Ингушетия;1253;92,3;106,5;114,2;5
СКФО;RU-KB;Кабардино-Балкарская Республика;173;101,3;99,6;98,8;759
СКФО;RU-KC;Карачаево-Черкесская Республика;1934;107;98,5;99,1;363
СКФО;RU-SE;Республика Северная Осетия – Алания;547;113,8;99,3;103,6;451
СКФО;RU-CE;Чеченская Республика;5440;102,1;106,8;100,2;127
СКФО;RU-STA;Ставропольский край;9240;109;100,2;102,8;2299
ПФО;RU-BA;Республика Башкортостан;169093;103,6;99,5;102,6;5426
ПФО;RU-ME;Республика Марий Эл;469;106,7;99,1;101,9;2462
ПФО;RU-MO;Республика Мордовия;224;105,3;98,4;102,5;1435
ПФО;RU-TA;Республика Татарстан;368991;107;99,7;102,4;10420
ПФО;RU-UD;Удмуртская Республика;137644;104;98,7;102,7;7800
ПФО;RU-CU;Чувашская Республика;1909;103,7;98,8;98,1;6487
ПФО;RU-PER;Пермский край;206134;105,7;98,6;100,8;10726
ПФО;RU-KIR;Кировская область;898;116,1;99,5;100,6;2208
ПФО;RU-NIZ;Нижегородская область;1776;103,1;99,5;102;10140
ПФО;RU-ORE;Оренбургская область;348081;111,2;97,9;102,2;8652
ПФО;RU-PNZ;Пензенская область;596;111,7;99,8;104,6;1610
ПФО;RU-SAM;Самарская область;205669;106,7;100,3;104,2;17908
ПФО;RU-SAR;Саратовская область;20222;113,2;99,5;104,3;5869
ПФО;RU-ULY;Ульяновская область;11475;106,2;98,6;102;3542
УФО;RU-KGN;Курганская область;2320;105,5;98,4;102,8;1038
УФО;RU-SVE;Свердловская область;52059;108,2;99,6;102;24697
УФО;RU-TYU;Тюменская область;3680429;117,3;100,2;102,4;4476
УФО;RU-KHM;Ханты-Мансийский автономный округ - Югра;2403087;110,5;100,1;100;147
УФО;RU-YAN;Ямало-Ненецкий автономный округ;1146823;89,4;99,8;103,9;899
УФО;RU-TYU_woao;Тюменская область без автономных округов;130518;119;100,5;108,9;3430
УФО;RU-CHE;Челябинская область;36862;114,1;99,6;101,5;76526
СФО;RU-AL;Республика Алтай;628;108,6;99,8;100,3;17
СФО;RU-BU;Республика Бурятия;16491;108,4;99,2;100,8;886
СФО;RU-TY;Республика Тыва;4569;103,5;98,3;101;19
СФО;RU-KK;Республика Хакасия;31760;140,7;97,4;104;830
СФО;RU-ALT;Алтайский край;3637;114,3;99;104,9;1420
СФО;RU-ZAB;Забайкальский край;48108;107,4;99;98,1;664
СФО;RU-KYA;Красноярский край;318766;130,3;99,9;102,9;6421
СФО;RU-IRK;Иркутская область;259575;114,4;99,6;102;16426
СФО;RU-KEM;Кемеровская область;457400;118,7;98,1;96;8139
СФО;RU-NVS;Новосибирская область;22953;106,5;101;105;5067
СФО;RU-OMS;Омская область;3855;98,5;99,9;105,1;2676
СФО;RU-TOM;Томская область;143934;110,6;99,2;101,8;2530
ДВФО;RU-SA;Республика Саха (Якутия);407115;125,2;100;100,9;1176
ДВФО;RU-KAM;Камчатский край;8190;113,3;97,8;99,5;735
ДВФО;RU-PRI;Приморский край;11016;109,6;99,5;97,4;3767
ДВФО;RU-KHA;Хабаровский край;49980;108,6;99,2;101,3;7308
ДВФО;RU-AMU;Амурская область;55690;123,9;99,9;89,4;284
ДВФО;RU-MAG;Магаданская область;61790;109,7;99,8;103,9;132
ДВФО;RU-SAK;Сахалинская область;736034;119;99,8;101,4;336
ДВФО;RU-YEV;Еврейская автономная область;720;108,7;97,9;82,5;133
ДВФО;RU-CHU;Чукотский автономный округ;63813;113,3;96,8;100,4;58
